id,special_id,content,user_id
1000043,1000011,値段相応ですかね。,1000003
1000044,1000011,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000045,1000012,毎年この優待を楽しみにしています。,1000005
1000046,1000012,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう12枚購入を目指してバイトを頑張っています。,1000006
1000047,1000012,値段相応ですかね。,1000007
1000048,1000012,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000049,1000013,毎年この優待を楽しみにしています。,1000001
1000050,1000013,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう13枚購入を目指してバイトを頑張っています。,1000002
1000051,1000013,値段相応ですかね。,1000003
1000052,1000013,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000053,1000014,毎年この優待を楽しみにしています。,1000005
1000054,1000014,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう14枚購入を目指してバイトを頑張っています。,1000006
1000055,1000014,値段相応ですかね。,1000007
1000056,1000014,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000057,1000015,毎年この優待を楽しみにしています。,1000001
1000058,1000015,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう15枚購入を目指してバイトを頑張っています。,1000002
1000059,1000015,値段相応ですかね。,1000003
1000060,1000015,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000061,1000016,毎年この優待を楽しみにしています。,1000005
1000062,1000016,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう16枚購入を目指してバイトを頑張っています。,1000006
1000063,1000016,値段相応ですかね。,1000007
1000064,1000016,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000065,1000017,毎年この優待を楽しみにしています。,1000001
1000066,1000017,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう17枚購入を目指してバイトを頑張っています。,1000002
1000067,1000017,値段相応ですかね。,1000003
1000068,1000017,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000069,1000018,毎年この優待を楽しみにしています。,1000005
1000070,1000018,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう18枚購入を目指してバイトを頑張っています。,1000006
1000071,1000018,値段相応ですかね。,1000007
1000072,1000018,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000073,1000019,毎年この優待を楽しみにしています。,1000001
1000074,1000019,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう19枚購入を目指してバイトを頑張っています。,1000002
1000075,1000019,値段相応ですかね。,1000003
1000076,1000019,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000077,1000020,毎年この優待を楽しみにしています。,1000005
1000078,1000020,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう20枚購入を目指してバイトを頑張っています。,1000006
1000079,1000020,値段相応ですかね。,1000007
1000080,1000020,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000081,1000021,毎年この優待を楽しみにしています。,1000001
1000082,1000021,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう21枚購入を目指してバイトを頑張っています。,1000002
1000083,1000021,値段相応ですかね。,1000003
1000084,1000021,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000085,1000022,毎年この優待を楽しみにしています。,1000005
1000086,1000022,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう22枚購入を目指してバイトを頑張っています。,1000006
1000087,1000022,値段相応ですかね。,1000007
1000088,1000022,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000089,1000023,毎年この優待を楽しみにしています。,1000001
1000090,1000023,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう23枚購入を目指してバイトを頑張っています。,1000002
1000091,1000023,値段相応ですかね。,1000003
1000092,1000023,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000093,1000024,毎年この優待を楽しみにしています。,1000005
1000094,1000024,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう24枚購入を目指してバイトを頑張っています。,1000006
1000095,1000024,値段相応ですかね。,1000007
1000096,1000024,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000097,1000025,毎年この優待を楽しみにしています。,1000001
1000098,1000025,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう25枚購入を目指してバイトを頑張っています。,1000002
1000099,1000025,値段相応ですかね。,1000003
1000100,1000025,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000101,1000026,毎年この優待を楽しみにしています。,1000005
1000102,1000026,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう26枚購入を目指してバイトを頑張っています。,1000006
1000103,1000026,値段相応ですかね。,1000007
1000104,1000026,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000105,1000027,毎年この優待を楽しみにしています。,1000001
1000106,1000027,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう27枚購入を目指してバイトを頑張っています。,1000002
1000107,1000027,値段相応ですかね。,1000003
1000108,1000027,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000109,1000028,毎年この優待を楽しみにしています。,1000005
1000110,1000028,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう28枚購入を目指してバイトを頑張っています。,1000006
1000111,1000028,値段相応ですかね。,1000007
1000112,1000028,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000113,1000029,毎年この優待を楽しみにしています。,1000001
1000114,1000029,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう29枚購入を目指してバイトを頑張っています。,1000002
1000115,1000029,値段相応ですかね。,1000003
1000116,1000029,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000117,1000030,毎年この優待を楽しみにしています。,1000005
1000118,1000030,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう30枚購入を目指してバイトを頑張っています。,1000006
1000119,1000030,値段相応ですかね。,1000007
1000120,1000030,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000121,1000031,毎年この優待を楽しみにしています。,1000001
1000122,1000031,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう31枚購入を目指してバイトを頑張っています。,1000002
1000123,1000031,値段相応ですかね。,1000003
1000124,1000031,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000125,1000032,毎年この優待を楽しみにしています。,1000005
1000126,1000032,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう32枚購入を目指してバイトを頑張っています。,1000006
1000127,1000032,値段相応ですかね。,1000007
1000128,1000032,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000129,1000033,毎年この優待を楽しみにしています。,1000001
1000130,1000033,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう33枚購入を目指してバイトを頑張っています。,1000002
1000131,1000033,値段相応ですかね。,1000003
1000132,1000033,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000133,1000034,毎年この優待を楽しみにしています。,1000005
1000134,1000034,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう34枚購入を目指してバイトを頑張っています。,1000006
1000135,1000034,値段相応ですかね。,1000007
1000136,1000034,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000137,1000035,毎年この優待を楽しみにしています。,1000001
1000138,1000035,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう35枚購入を目指してバイトを頑張っています。,1000002
1000139,1000035,値段相応ですかね。,1000003
1000140,1000035,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000141,1000036,毎年この優待を楽しみにしています。,1000005
1000142,1000036,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう36枚購入を目指してバイトを頑張っています。,1000006
1000143,1000036,値段相応ですかね。,1000007
1000144,1000036,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000145,1000037,毎年この優待を楽しみにしています。,1000001
1000146,1000037,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう37枚購入を目指してバイトを頑張っています。,1000002
1000147,1000037,値段相応ですかね。,1000003
1000148,1000037,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000149,1000038,毎年この優待を楽しみにしています。,1000005
1000150,1000038,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう38枚購入を目指してバイトを頑張っています。,1000006
1000151,1000038,値段相応ですかね。,1000007
1000152,1000038,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000153,1000039,毎年この優待を楽しみにしています。,1000001
1000154,1000039,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう39枚購入を目指してバイトを頑張っています。,1000002
1000155,1000039,値段相応ですかね。,1000003
1000156,1000039,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000157,1000040,毎年この優待を楽しみにしています。,1000005
1000158,1000040,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう40枚購入を目指してバイトを頑張っています。,1000006
1000159,1000040,値段相応ですかね。,1000007
1000160,1000040,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
